signal_id,account_id,contact_id,owner_id,signal_type,playbook,signal_title,severity,score,status,detected_at,expires_at,action_recommended,source_url
SIG-7120,ACC-1060,,USR-3001,Intent Score,Intent Spike,Comparison research against forecasting vendors,Medium,72,New,2026-08-10 11:00:00,2026-09-30,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7120
SIG-7121,ACC-1001,,USR-3002,Intent Score,Intent Spike,Intent spike on G2 for revenue intelligence,High,91,New,2026-05-14 17:00:00,2026-09-01,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7121
SIG-7122,ACC-1002,,USR-3005,M&A Event,M&A Event,"Merger closes, two CRM instances to consolidate",High,95,New,2026-08-06 10:00:00,2026-09-03,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7122
SIG-7123,ACC-1003,CNT-2013,USR-3006,Funding Round,M&A Event,Growth round closed ahead of plan,Low,63,New,2026-08-09 16:00:00,2026-09-08,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7123
SIG-7124,ACC-1004,CNT-2018,USR-3007,Funding Round,M&A Event,Growth round closed ahead of plan,High,94,New,2026-08-05 11:00:00,2026-09-26,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7124
SIG-7125,ACC-1005,CNT-2021,USR-3009,Intent Score,Intent Spike,Intent spike on G2 for revenue intelligence,High,93,New,2026-08-03 16:00:00,2026-10-12,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7125
SIG-7126,ACC-1006,,USR-3010,Intent Score,Intent Spike,Intent spike on G2 for revenue intelligence,Low,66,New,2026-08-03 11:00:00,2026-09-18,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7126
SIG-7127,ACC-1007,,USR-3011,Hiring Surge,Intent Spike,New data team chartered for GTM analytics,Medium,70,New,2026-07-31 11:00:00,2026-08-21,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7127
SIG-7128,ACC-1008,,USR-3012,Intent Score,Intent Spike,Intent spike on G2 for revenue intelligence,High,96,Dismissed,2026-07-04 15:00:00,2026-08-26,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7128
SIG-7129,ACC-1009,,USR-3013,M&A Event,M&A Event,Acquisition announced in target vertical,Medium,70,Actioned,2026-05-08 16:00:00,2026-08-27,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7129
SIG-7130,ACC-1010,,USR-3001,Intent Score,Intent Spike,Intent spike on G2 for revenue intelligence,Low,69,Dismissed,2026-08-13 08:00:00,2026-09-13,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7130
SIG-7131,ACC-1011,,USR-3002,Champion Movement,Champion Movement,Champion joined from a customer account,High,93,Dismissed,2026-08-07 11:00:00,2026-09-11,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7131
SIG-7132,ACC-1012,,USR-3005,Funding Round,M&A Event,Growth round closed ahead of plan,High,92,New,2026-08-12 11:00:00,2026-10-04,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7132
SIG-7133,ACC-1013,CNT-2056,USR-3006,Executive Departure,Executive Change,CRO departure announced,High,95,New,2026-08-01 19:00:00,2026-09-07,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7133
SIG-7134,ACC-1014,CNT-2059,USR-3007,M&A Event,M&A Event,Divestiture creates a new GTM entity,Medium,77,Actioned,2026-08-09 19:00:00,2026-10-01,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7134
SIG-7135,ACC-1015,CNT-2064,USR-3009,Hiring Surge,Intent Spike,Sales headcount plan doubled for next year,High,96,New,2026-08-12 15:00:00,2026-09-15,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7135
SIG-7136,ACC-1016,,USR-3010,Champion Movement,Champion Movement,Champion joined from a customer account,Low,58,New,2026-08-08 18:00:00,2026-10-12,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7136
SIG-7137,ACC-1017,CNT-2072,USR-3011,Executive Departure,Executive Change,CRO departure announced,Low,66,New,2026-08-04 13:00:00,2026-09-28,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7137
SIG-7138,ACC-1018,CNT-2079,USR-3012,Champion Movement,Champion Movement,Champion promoted to VP Revenue Operations,Low,66,New,2026-08-08 09:00:00,2026-10-07,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7138
SIG-7139,ACC-1019,CNT-2082,USR-3013,M&A Event,M&A Event,"Merger closes, two CRM instances to consolidate",High,95,New,2026-08-03 16:00:00,2026-09-06,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7139
SIG-7140,ACC-1020,CNT-2088,USR-3001,Executive Departure,Executive Change,VP Sales exited the business,Medium,75,New,2026-08-05 08:00:00,2026-09-03,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7140
SIG-7141,ACC-1021,,USR-3002,M&A Event,M&A Event,Acquisition announced in target vertical,High,85,New,2026-04-19 15:00:00,2026-08-24,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7141
SIG-7142,ACC-1022,CNT-2094,USR-3005,Champion Movement,Champion Movement,Champion promoted to VP Revenue Operations,High,93,New,2026-08-13 11:00:00,2026-09-24,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7142
SIG-7143,ACC-1023,CNT-2101,USR-3006,Intent Score,Intent Spike,Repeat visits to pricing and ROI pages,High,85,New,2026-08-06 12:00:00,2026-08-28,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7143
SIG-7144,ACC-1024,CNT-2106,USR-3007,Funding Round,M&A Event,Growth round closed ahead of plan,High,91,New,2026-08-04 15:00:00,2026-10-06,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7144
SIG-7145,ACC-1025,CNT-2108,USR-3009,Intent Score,Intent Spike,Repeat visits to pricing and ROI pages,High,95,New,2026-07-10 08:00:00,2026-09-01,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7145
SIG-7146,ACC-1026,,USR-3010,Intent Score,Intent Spike,Comparison research against forecasting vendors,Medium,83,Dismissed,2026-08-06 17:00:00,2026-08-20,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7146
SIG-7147,ACC-1027,CNT-2119,USR-3011,M&A Event,M&A Event,Divestiture creates a new GTM entity,Low,61,New,2026-08-05 15:00:00,2026-08-25,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7147
SIG-7148,ACC-1028,,USR-3012,Executive Departure,Executive Change,CRO departure announced,Medium,70,New,2026-07-31 11:00:00,2026-08-25,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7148
SIG-7149,ACC-1029,CNT-2125,USR-3013,Funding Round,M&A Event,Series D raised to fund GTM expansion,High,86,New,2026-07-21 15:00:00,2026-09-12,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7149
SIG-7150,ACC-1030,,USR-3001,Executive Departure,Executive Change,VP Sales exited the business,Low,58,New,2026-08-04 13:00:00,2026-08-29,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7150
SIG-7151,ACC-1031,,USR-3002,Funding Round,M&A Event,Growth round closed ahead of plan,Medium,76,New,2026-08-03 13:00:00,2026-08-24,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7151
SIG-7152,ACC-1032,,USR-3005,Funding Round,M&A Event,New capital earmarked for revenue tooling,Low,68,New,2026-08-08 19:00:00,2026-08-30,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7152
SIG-7153,ACC-1033,CNT-2144,USR-3006,Executive Departure,Executive Change,CRO departure announced,Low,65,Actioned,2026-06-12 07:00:00,2026-08-27,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7153
SIG-7154,ACC-1034,,USR-3007,Funding Round,M&A Event,Growth round closed ahead of plan,High,98,New,2026-08-03 15:00:00,2026-09-27,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7154
SIG-7155,ACC-1035,CNT-2153,USR-3009,Executive Departure,Executive Change,Head of RevOps moved on,Medium,75,New,2026-08-13 16:00:00,2026-09-01,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7155
SIG-7156,ACC-1036,,USR-3010,Executive Departure,Executive Change,CRO departure announced,Low,65,New,2026-08-10 14:00:00,2026-08-27,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7156
SIG-7157,ACC-1037,CNT-2164,USR-3011,Executive Departure,Executive Change,VP Sales exited the business,High,95,New,2026-08-12 13:00:00,2026-09-12,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7157
SIG-7158,ACC-1038,,USR-3012,Champion Movement,Champion Movement,Champion promoted to VP Revenue Operations,Medium,79,New,2026-08-08 16:00:00,2026-09-03,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7158
SIG-7159,ACC-1039,,USR-3013,Funding Round,M&A Event,New capital earmarked for revenue tooling,High,93,Actioned,2026-06-27 19:00:00,2026-08-30,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7159
SIG-7160,ACC-1040,CNT-2176,USR-3001,Intent Score,Intent Spike,Repeat visits to pricing and ROI pages,High,94,New,2026-04-18 18:00:00,2026-09-21,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7160
SIG-7161,ACC-1041,,USR-3002,Intent Score,Intent Spike,Comparison research against forecasting vendors,Low,67,New,2026-08-08 19:00:00,2026-09-20,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7161
SIG-7162,ACC-1042,,USR-3005,Intent Score,Intent Spike,Comparison research against forecasting vendors,High,92,New,2026-08-09 19:00:00,2026-08-24,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7162
SIG-7163,ACC-1043,CNT-2190,USR-3006,Hiring Surge,Intent Spike,Sales headcount plan doubled for next year,High,92,Dismissed,2026-06-19 16:00:00,2026-09-17,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7163
SIG-7164,ACC-1044,CNT-2198,USR-3007,Champion Movement,Champion Movement,Champion expanded scope to include forecasting,High,85,New,2026-08-05 18:00:00,2026-10-12,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7164
SIG-7165,ACC-1045,CNT-2205,USR-3009,Champion Movement,Champion Movement,Champion expanded scope to include forecasting,Low,59,New,2026-08-02 18:00:00,2026-09-05,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7165
SIG-7166,ACC-1046,CNT-2210,USR-3010,Executive Departure,Executive Change,CRO departure announced,Low,69,New,2026-08-02 13:00:00,2026-09-01,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7166
SIG-7167,ACC-1047,CNT-2216,USR-3011,Intent Score,Intent Spike,Intent spike on G2 for revenue intelligence,High,85,New,2026-08-03 15:00:00,2026-10-05,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7167
SIG-7168,ACC-1048,,USR-3012,Hiring Surge,Intent Spike,Sales headcount plan doubled for next year,Low,62,New,2026-08-06 12:00:00,2026-09-30,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7168
SIG-7169,ACC-1049,CNT-2224,USR-3013,Champion Movement,Champion Movement,Champion promoted to VP Revenue Operations,High,86,New,2026-08-13 16:00:00,2026-10-03,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7169
SIG-7170,ACC-1050,CNT-2227,USR-3001,Funding Round,M&A Event,Growth round closed ahead of plan,Low,63,New,2026-08-03 16:00:00,2026-10-10,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7170
SIG-7171,ACC-1051,,USR-3002,Hiring Surge,Intent Spike,Twelve open RevOps and enablement roles,High,91,New,2026-08-09 08:00:00,2026-08-25,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7171
SIG-7172,ACC-1052,CNT-2237,USR-3005,Intent Score,Intent Spike,Comparison research against forecasting vendors,Medium,70,New,2026-08-09 17:00:00,2026-09-01,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7172
SIG-7173,ACC-1053,CNT-2239,USR-3006,M&A Event,M&A Event,Acquisition announced in target vertical,High,93,New,2026-08-04 18:00:00,2026-08-29,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7173
SIG-7174,ACC-1054,CNT-2245,USR-3007,Champion Movement,Champion Movement,Champion promoted to VP Revenue Operations,High,89,New,2026-07-31 15:00:00,2026-10-10,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7174
SIG-7175,ACC-1055,,USR-3009,Intent Score,Intent Spike,Repeat visits to pricing and ROI pages,High,97,New,2026-08-09 13:00:00,2026-09-01,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7175
SIG-7176,ACC-1056,CNT-2254,USR-3010,M&A Event,M&A Event,Acquisition announced in target vertical,Medium,81,New,2026-08-10 09:00:00,2026-08-26,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7176
SIG-7177,ACC-1057,,USR-3011,Funding Round,M&A Event,New capital earmarked for revenue tooling,High,95,Dismissed,2026-07-31 17:00:00,2026-10-09,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7177
SIG-7178,ACC-1058,CNT-2262,USR-3012,Intent Score,Intent Spike,Repeat visits to pricing and ROI pages,High,90,Actioned,2026-06-12 15:00:00,2026-09-26,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7178
SIG-7179,ACC-1059,,USR-3013,Executive Departure,Executive Change,VP Sales exited the business,Medium,78,Actioned,2026-05-02 16:00:00,2026-09-16,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7179
SIG-7180,ACC-1060,,USR-3001,Funding Round,M&A Event,Series D raised to fund GTM expansion,Medium,82,New,2026-08-11 18:00:00,2026-09-08,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7180
SIG-7181,ACC-1001,CNT-2006,USR-3002,Champion Movement,Champion Movement,Champion promoted to VP Revenue Operations,High,91,Actioned,2026-08-10 07:00:00,2026-10-03,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7181
SIG-7182,ACC-1002,CNT-2008,USR-3005,Hiring Surge,Intent Spike,Sales headcount plan doubled for next year,Medium,73,New,2026-08-05 15:00:00,2026-09-04,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7182
SIG-7183,ACC-1003,CNT-2013,USR-3006,Executive Departure,Executive Change,VP Sales exited the business,Low,63,New,2026-08-02 08:00:00,2026-09-20,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7183
SIG-7184,ACC-1004,CNT-2016,USR-3007,Hiring Surge,Intent Spike,Twelve open RevOps and enablement roles,Low,68,New,2026-08-12 14:00:00,2026-09-08,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7184
SIG-7185,ACC-1005,CNT-2021,USR-3009,Executive Departure,Executive Change,Head of RevOps moved on,High,94,New,2026-08-03 15:00:00,2026-09-22,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7185
SIG-7186,ACC-1006,CNT-2023,USR-3010,Hiring Surge,Intent Spike,New data team chartered for GTM analytics,Low,68,New,2026-05-20 14:00:00,2026-09-20,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7186
SIG-7187,ACC-1007,,USR-3011,Champion Movement,Champion Movement,Champion expanded scope to include forecasting,Medium,83,New,2026-07-08 18:00:00,2026-09-23,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7187
SIG-7188,ACC-1008,CNT-2035,USR-3012,Champion Movement,Champion Movement,Champion expanded scope to include forecasting,High,96,Dismissed,2026-08-06 10:00:00,2026-10-09,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7188
SIG-7189,ACC-1009,CNT-2037,USR-3013,Hiring Surge,Intent Spike,Sales headcount plan doubled for next year,Medium,82,New,2026-08-04 12:00:00,2026-10-10,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7189
SIG-7190,ACC-1010,,USR-3001,M&A Event,M&A Event,Acquisition announced in target vertical,Low,58,New,2026-08-12 18:00:00,2026-08-18,Engage the CRO on seat consolidation across both entities,https://signals.intellia.ai/sig-7190
SIG-7191,ACC-1011,CNT-2048,USR-3002,Champion Movement,Champion Movement,Champion joined from a customer account,Medium,80,New,2026-08-07 16:00:00,2026-09-17,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7191
SIG-7192,ACC-1012,,USR-3005,Intent Score,Intent Spike,Comparison research against forecasting vendors,High,87,New,2026-08-07 16:00:00,2026-09-09,Send a personalized case study and route to the account owner,https://signals.intellia.ai/sig-7192
SIG-7193,ACC-1013,,USR-3006,Funding Round,M&A Event,Growth round closed ahead of plan,High,89,New,2026-08-06 17:00:00,2026-09-05,Open a strategic conversation on scaling GTM operations,https://signals.intellia.ai/sig-7193
SIG-7194,ACC-1014,,USR-3007,Champion Movement,Champion Movement,Champion expanded scope to include forecasting,High,95,New,2026-08-09 19:00:00,2026-09-30,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7194
SIG-7195,ACC-1015,,USR-3009,Champion Movement,Champion Movement,Champion joined from a customer account,High,98,Dismissed,2026-08-13 12:00:00,2026-10-05,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7195
SIG-7196,ACC-1016,,USR-3010,Champion Movement,Champion Movement,Champion promoted to VP Revenue Operations,Medium,79,New,2026-08-11 10:00:00,2026-10-02,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7196
SIG-7197,ACC-1017,,USR-3011,Hiring Surge,Intent Spike,Twelve open RevOps and enablement roles,High,94,New,2026-08-11 12:00:00,2026-09-18,Position onboarding and ramp analytics to the enablement lead,https://signals.intellia.ai/sig-7197
SIG-7198,ACC-1018,,USR-3012,Executive Departure,Executive Change,Head of RevOps moved on,Medium,82,New,2026-08-04 11:00:00,2026-09-24,Map the new org and re-establish an executive sponsor,https://signals.intellia.ai/sig-7198
SIG-7199,ACC-1019,CNT-2081,USR-3013,Champion Movement,Champion Movement,Champion promoted to VP Revenue Operations,Medium,77,New,2026-08-04 11:00:00,2026-09-29,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7199
SIG-7200,ACC-1020,CNT-2086,USR-3001,Champion Movement,Champion Movement,Champion joined from a customer account,Medium,81,Actioned,2026-08-02 14:00:00,2026-10-01,Send a congratulatory note and reconnect on new priorities,https://signals.intellia.ai/sig-7200
