deal_id,account_id,owner_id,deal_name,deal_type,stage,amount,probability,forecast_category,close_date,created_date,stage_entered_at,last_activity_date,next_step,next_step_due_date,competitor,source,win_loss_reason
DL-4123,ACC-1044,USR-3007,Vector Biotech - Upsell,Upsell,Stage 3 - Evaluation,263000,55,Best Case,2026-12-30,2026-04-22,2026-08-12,2026-08-13,Send mutual action plan,2026-08-31,In-house build,Marketing,
DL-4124,ACC-1045,USR-3007,Eclipse Systems - New Logo,New Logo,Stage 3 - Evaluation,79000,55,Best Case,2026-09-05,2026-04-05,2026-07-03,2026-07-07,Get procurement paperwork started,2026-09-02,Clari,Partner,
DL-4125,ACC-1046,USR-3013,Matrix Logistics - Renewal,Renewal,Stage 5 - Closed Won,92000,100,Closed,2026-08-13,2026-04-15,2026-08-04,2026-08-06,,,In-house build,Inbound,Forecast accuracy proof-of-value landed
DL-4126,ACC-1047,USR-3011,Northwind Foods - Upsell,Upsell,Stage 5 - Closed Lost,582000,0,Omitted,2026-07-19,2026-04-11,2026-06-24,2026-07-07,,,Gong,Partner,Champion left mid-cycle
DL-4127,ACC-1048,USR-3012,Ironclad Insurance - Renewal,Renewal,Stage 5 - Closed Won,152000,100,Closed,2026-08-13,2026-05-23,2026-07-24,2026-08-03,,,In-house build,Marketing,Fastest time to value in evaluation
DL-4128,ACC-1049,USR-3013,Silverline Telecom - New Logo,New Logo,Stage 5 - Closed Won,44000,100,Closed,2026-08-13,2026-05-21,2026-07-20,2026-07-31,,,Clari,Marketing,Signal-to-action workflow beat incumbent
DL-4129,ACC-1050,USR-3001,Redwood Capital - New Logo,New Logo,Stage 4 - Proposal,239000,75,Commit,2026-09-27,2026-05-12,2026-06-26,2026-06-28,Deliver ROI model to finance,2026-08-30,In-house build,Marketing,
DL-4130,ACC-1051,USR-3002,Bluepeak Software - New Logo,New Logo,Stage 5 - Closed Won,49000,100,Closed,2026-08-13,2026-05-05,2026-07-04,2026-07-14,,,In-house build,Partner,Consolidated three point tools
DL-4131,ACC-1052,USR-3005,Granite Utilities - New Logo,New Logo,Stage 5 - Closed Won,608000,100,Closed,2026-07-17,2026-05-15,2026-06-10,2026-06-16,,,People.ai,Outbound,Forecast accuracy proof-of-value landed
DL-4132,ACC-1053,USR-3002,Meridian Health - Upsell,Upsell,Stage 5 - Closed Won,67000,100,Closed,2026-08-13,2026-05-20,2026-07-17,2026-07-27,,,,Inbound,Signal-to-action workflow beat incumbent
DL-4133,ACC-1054,USR-3007,Copperfield Retail - New Logo,New Logo,Stage 5 - Closed Lost,88000,0,Omitted,2026-08-07,2026-05-07,2026-07-26,2026-07-30,,,Gong,Inbound,Lost to incumbent CRM add-on
DL-4134,ACC-1055,USR-3009,Lakeshore Manufacturing - New Logo,New Logo,Stage 3 - Evaluation,24000,55,Best Case,2026-09-28,2026-05-27,2026-07-07,2026-07-12,Deliver ROI model to finance,2026-08-12,Incumbent CRM,Outbound,
DL-4135,ACC-1056,USR-3013,Ridgeline Data - Renewal,Renewal,Stage 5 - Closed Lost,47000,0,Omitted,2026-08-13,2026-05-11,2026-07-21,2026-07-30,,,In-house build,Inbound,Lost to incumbent CRM add-on
DL-4136,ACC-1057,USR-3006,Foxglove Labs - New Logo,New Logo,Stage 3 - Evaluation,587000,55,Best Case,2026-09-07,2026-05-15,2026-07-10,2026-07-29,Deliver ROI model to finance,2026-08-30,People.ai,Marketing,
DL-4137,ACC-1058,USR-3012,Harborview Energy - Renewal,Renewal,Stage 5 - Closed Won,34000,100,Closed,2026-08-07,2026-05-03,2026-07-21,2026-08-13,,,Incumbent CRM,Marketing,Consolidated three point tools
DL-4138,ACC-1059,USR-3013,Stonebridge Bank - Renewal,Renewal,Stage 4 - Proposal,44000,75,Commit,2026-12-09,2026-05-15,2026-06-20,2026-07-09,Run technical validation workshop,2026-08-28,,Marketing,
DL-4139,ACC-1060,USR-3001,Wavelength Media - New Logo,New Logo,Stage 5 - Closed Lost,246000,0,Omitted,2026-08-13,2026-05-01,2026-08-08,2026-08-13,,,Incumbent CRM,Partner,Deprioritized after reorg
DL-4140,ACC-1001,USR-3002,Apex Logistics - New Logo,New Logo,Stage 2 - Qualification,59000,30,Pipeline,2026-09-26,2026-05-06,2026-07-11,2026-07-29,Run technical validation workshop,2026-08-31,Gong,Marketing,
DL-4141,ACC-1002,USR-3013,Vortex Analytics - New Logo,New Logo,Stage 3 - Evaluation,148000,55,Best Case,2026-12-12,2026-06-20,2026-07-19,2026-07-28,Deliver ROI model to finance,2026-08-26,People.ai,Marketing,
DL-4142,ACC-1003,USR-3006,CloudScale Systems - New Logo,New Logo,Stage 1 - Discovery,213000,15,Pipeline,2026-11-01,2026-06-17,2026-06-21,2026-06-27,Deliver ROI model to finance,2026-08-09,In-house build,Expansion,
DL-4143,ACC-1004,USR-3011,BioHealth Labs - Upsell,Upsell,Stage 1 - Discovery,106000,15,Pipeline,2026-08-12,2026-06-25,2026-07-14,2026-08-04,Circulate pilot success criteria,2026-08-31,In-house build,Inbound,
DL-4144,ACC-1005,USR-3009,OmniRetail Group - Upsell,Upsell,Stage 1 - Discovery,202000,15,Pipeline,2026-12-18,2026-06-14,2026-06-21,2026-06-27,Circulate pilot success criteria,2026-08-15,,Outbound,
DL-4145,ACC-1006,USR-3010,CyberGuard Networks - Renewal,Renewal,Stage 3 - Evaluation,28000,55,Best Case,2026-08-19,2026-06-13,2026-06-19,2026-06-26,Circulate pilot success criteria,2026-08-12,,Expansion,
DL-4146,ACC-1007,USR-3011,DataPulse AI - Renewal,Renewal,Stage 5 - Closed Lost,144000,0,Omitted,2026-07-21,2026-06-02,2026-06-30,2026-07-08,,,Incumbent CRM,Partner,Budget frozen for the fiscal year
DL-4147,ACC-1008,USR-3012,Nexus Financial - Renewal,Renewal,Stage 1 - Discovery,114000,15,Pipeline,2026-09-15,2026-06-16,2026-07-05,2026-07-23,Schedule executive alignment call,2026-08-07,In-house build,Partner,
DL-4148,ACC-1009,USR-3013,Strata Energy - Upsell,Upsell,Stage 1 - Discovery,113000,15,Pipeline,2026-08-29,2026-06-26,2026-08-02,2026-08-13,Get procurement paperwork started,2026-08-20,,Expansion,
DL-4149,ACC-1010,USR-3001,Fintech Dynamics - Upsell,Upsell,Stage 1 - Discovery,34000,15,Pipeline,2026-11-27,2026-06-24,2026-08-05,2026-08-13,Run technical validation workshop,2026-08-21,,Outbound,
DL-4150,ACC-1011,USR-3002,Quantum Edge - Renewal,Renewal,Stage 5 - Closed Won,124000,100,Closed,2026-08-13,2026-06-05,2026-07-04,2026-07-06,,,,Inbound,Forecast accuracy proof-of-value landed
DL-4151,ACC-1012,USR-3005,Synergy Media - Renewal,Renewal,Stage 2 - Qualification,66000,30,Pipeline,2026-12-19,2026-06-16,2026-07-19,2026-07-23,Circulate pilot success criteria,2026-08-11,Clari,Expansion,
DL-4152,ACC-1013,USR-3005,Astra Manufacturing - New Logo,New Logo,Stage 5 - Closed Won,185000,100,Closed,2026-08-13,2026-06-09,2026-08-10,2026-08-13,,,People.ai,Partner,Fastest time to value in evaluation
DL-4153,ACC-1014,USR-3007,Velocity Cloud - Renewal,Renewal,Stage 1 - Discovery,493000,15,Pipeline,2026-08-05,2026-06-27,2026-07-09,2026-07-23,Get procurement paperwork started,2026-09-03,Incumbent CRM,Expansion,
DL-4154,ACC-1015,USR-3009,Horizon Ventures - New Logo,New Logo,Stage 3 - Evaluation,581000,55,Best Case,2026-08-28,2026-06-15,2026-07-26,2026-08-13,Get procurement paperwork started,2026-08-10,Gong,Marketing,
DL-4155,ACC-1016,USR-3010,Pinnacle Software - New Logo,New Logo,Stage 1 - Discovery,591000,15,Pipeline,2026-08-10,2026-07-22,2026-07-14,2026-07-27,Get procurement paperwork started,2026-08-25,People.ai,Expansion,
DL-4156,ACC-1017,USR-3011,Aether Digital - New Logo,New Logo,Stage 4 - Proposal,175000,75,Commit,2026-11-13,2026-07-25,2026-08-01,2026-08-02,Schedule executive alignment call,2026-09-03,Clari,Outbound,
DL-4157,ACC-1018,USR-3012,Lumina Health - Renewal,Renewal,Stage 2 - Qualification,87000,30,Pipeline,2026-12-03,2026-07-22,2026-07-01,2026-07-09,Run technical validation workshop,2026-08-08,Incumbent CRM,Inbound,
DL-4158,ACC-1019,USR-3013,Crest Solutions - New Logo,New Logo,Stage 1 - Discovery,277000,15,Pipeline,2026-12-10,2026-07-06,2026-07-01,2026-07-09,Deliver ROI model to finance,2026-09-01,Incumbent CRM,Expansion,
DL-4159,ACC-1020,USR-3011,Trident Corp - New Logo,New Logo,Stage 3 - Evaluation,178000,55,Best Case,2026-09-18,2026-07-19,2026-08-08,2026-08-12,Get procurement paperwork started,2026-09-02,People.ai,Marketing,
DL-4160,ACC-1021,USR-3002,Beacon Utilities - Renewal,Renewal,Stage 1 - Discovery,74000,15,Pipeline,2026-10-14,2026-07-28,2026-07-19,2026-07-26,Run technical validation workshop,2026-08-23,In-house build,Expansion,
DL-4161,ACC-1022,USR-3001,Core Networks - New Logo,New Logo,Stage 2 - Qualification,154000,30,Pipeline,2026-10-07,2026-07-01,2026-07-22,2026-07-27,Get procurement paperwork started,2026-08-08,Clari,Outbound,
DL-4162,ACC-1023,USR-3006,Echelon Labs - New Logo,New Logo,Stage 1 - Discovery,69000,15,Pipeline,2026-09-10,2026-07-03,2026-06-28,2026-07-22,Send mutual action plan,2026-08-25,Clari,Partner,
DL-4163,ACC-1024,USR-3007,Zenith Retail - New Logo,New Logo,Stage 1 - Discovery,177000,15,Pipeline,2027-01-06,2026-07-13,2026-07-06,2026-07-12,Send mutual action plan,2026-08-14,Incumbent CRM,Marketing,
DL-4164,ACC-1025,USR-3009,Kinetix Robotics - New Logo,New Logo,Stage 3 - Evaluation,36000,55,Best Case,2026-10-10,2026-07-11,2026-07-05,2026-07-09,Schedule executive alignment call,2026-08-12,Incumbent CRM,Marketing,
DL-4165,ACC-1026,USR-3010,Optima Insurance - New Logo,New Logo,Stage 2 - Qualification,31000,30,Pipeline,2026-11-01,2026-07-03,2026-06-19,2026-07-09,Send mutual action plan,2026-08-24,Incumbent CRM,Expansion,
DL-4166,ACC-1027,USR-3001,Veritas Data - Renewal,Renewal,Stage 1 - Discovery,48000,15,Pipeline,2026-08-07,2026-07-12,2026-08-04,2026-08-06,Circulate pilot success criteria,2026-08-16,,Inbound,
DL-4167,ACC-1028,USR-3012,Vanguard Payments - New Logo,New Logo,Stage 1 - Discovery,111000,15,Pipeline,2026-08-24,2026-07-24,2026-07-07,2026-07-14,Circulate pilot success criteria,2026-08-30,Incumbent CRM,Inbound,
DL-4168,ACC-1029,USR-3006,Solstice Energy - Renewal,Renewal,Stage 1 - Discovery,49000,15,Pipeline,2026-11-01,2026-07-02,2026-06-29,2026-07-08,Circulate pilot success criteria,2026-08-28,Incumbent CRM,Expansion,
DL-4169,ACC-1030,USR-3001,Infini Telecom - New Logo,New Logo,Stage 3 - Evaluation,78000,55,Best Case,2026-10-10,2026-08-13,2026-08-10,2026-08-13,Confirm security review timeline,2026-08-19,,Expansion,
DL-4170,ACC-1031,USR-3007,Pulse Diagnostics - Upsell,Upsell,Stage 1 - Discovery,517000,15,Pipeline,2026-11-06,2026-08-13,2026-08-07,2026-08-13,Confirm security review timeline,2026-08-30,Clari,Marketing,
DL-4171,ACC-1032,USR-3005,Titan Industrial - Upsell,Upsell,Stage 2 - Qualification,183000,30,Pipeline,2026-11-24,2026-08-08,2026-07-14,2026-07-19,Send mutual action plan,2026-08-23,In-house build,Partner,
DL-4172,ACC-1033,USR-3006,Prism Analytics - Upsell,Upsell,Stage 4 - Proposal,521000,75,Commit,2026-12-12,2026-08-06,2026-07-18,2026-07-21,Circulate pilot success criteria,2026-08-16,Clari,Inbound,
DL-4173,ACC-1034,USR-3007,Cobalt Mining - New Logo,New Logo,Stage 4 - Proposal,36000,75,Commit,2026-12-02,2026-08-02,2026-07-30,2026-08-13,Run technical validation workshop,2026-08-15,People.ai,Expansion,
DL-4174,ACC-1035,USR-3009,Sentry Security - New Logo,New Logo,Stage 1 - Discovery,16000,15,Pipeline,2026-08-28,2026-08-08,2026-06-24,2026-07-16,Circulate pilot success criteria,2026-08-11,Clari,Partner,
DL-4175,ACC-1036,USR-3009,Helios Power - New Logo,New Logo,Stage 4 - Proposal,126000,75,Commit,2026-10-08,2026-08-08,2026-07-17,2026-07-23,Send mutual action plan,2026-08-16,Incumbent CRM,Marketing,
DL-4176,ACC-1037,USR-3011,Fortress Bank - Renewal,Renewal,Stage 2 - Qualification,111000,30,Pipeline,2026-09-04,2026-08-11,2026-08-05,2026-08-13,Circulate pilot success criteria,2026-08-12,Incumbent CRM,Inbound,
DL-4177,ACC-1038,USR-3006,Clarity Health - New Logo,New Logo,Stage 1 - Discovery,28000,15,Pipeline,2026-11-22,2026-08-08,2026-07-31,2026-08-08,Circulate pilot success criteria,2026-08-19,People.ai,Inbound,
DL-4178,ACC-1039,USR-3013,Nouveau Retail - Renewal,Renewal,Stage 1 - Discovery,43000,15,Pipeline,2026-10-05,2026-08-09,2026-08-02,2026-08-13,Deliver ROI model to finance,2026-08-24,,Marketing,
DL-4179,ACC-1040,USR-3001,Orion Aerospace - Renewal,Renewal,Stage 2 - Qualification,176000,30,Pipeline,2026-12-12,2026-08-09,2026-07-24,2026-07-25,Schedule executive alignment call,2026-08-26,Gong,Marketing,
DL-4180,ACC-1041,USR-3002,Hyperion Cloud - Upsell,Upsell,Stage 4 - Proposal,72000,75,Commit,2026-11-24,2026-08-09,2026-06-19,2026-07-06,Deliver ROI model to finance,2026-08-30,Gong,Partner,
DL-4181,ACC-1042,USR-3005,Astral Media - Upsell,Upsell,Stage 1 - Discovery,170000,15,Pipeline,2026-08-05,2026-08-12,2026-07-15,2026-07-16,Deliver ROI model to finance,2026-08-11,Clari,Outbound,
DL-4182,ACC-1043,USR-3011,Summit Financial - Upsell,Upsell,Stage 4 - Proposal,236000,75,Commit,2026-09-01,2026-08-12,2026-07-16,2026-08-08,Send mutual action plan,2026-08-25,Gong,Outbound,
DL-9001,ACC-1002,USR-3002,Vortex Analytics - Renewal + Expand,Renewal,Stage 4 - Proposal,268000,60,Commit,2026-08-31,2026-05-09,2026-07-17,2026-08-04,Resolve procurement concern and confirm renewal timeline,2026-08-13,Clari,Expansion,
DL-9002,ACC-1001,USR-3002,Apex Logistics - Platform Expansion,Upsell,Stage 3 - Evaluation,145000,55,Best Case,2026-09-23,2026-06-20,2026-08-01,2026-08-11,Run technical validation workshop with the data team,2026-08-17,In-house build,Expansion,
DL-9003,ACC-1011,USR-3002,Quantum Edge - New Logo,New Logo,Stage 4 - Proposal,312000,75,Commit,2026-08-22,2026-04-03,2026-06-26,2026-07-23,Chase the signed order form,2026-08-10,Gong,Outbound,
