task_id,account_id,deal_id,owner_id,title,description,due_date,priority,status,source,created_at,completed_at
TSK-9171,ACC-1032,DL-4171,USR-3005,Share the ROI model with finance,Linked to Titan Industrial - Upsell.,2026-09-06,Low,In Progress,manual,2026-09-03,
TSK-9172,ACC-1033,DL-4172,USR-3006,Draft the renewal proposal,Linked to Prism Analytics - Upsell.,2026-08-10,Medium,In Progress,email,2026-07-30,
TSK-9173,ACC-1034,DL-4173,USR-3007,Update the close plan in CRM,Linked to Cobalt Mining - New Logo.,2026-08-18,High,In Progress,manual,2026-08-10,
TSK-9174,ACC-1035,DL-4174,USR-3009,Log the competitive intel from the last call,Linked to Sentry Security - New Logo.,2026-09-04,Medium,Open,email,2026-08-18,
TSK-9175,ACC-1036,DL-4175,USR-3009,Log the competitive intel from the last call,Linked to Helios Power - New Logo.,2026-08-02,Medium,Done,email,2026-07-23,2026-08-02
TSK-9176,ACC-1037,DL-4176,USR-3011,Book the executive alignment call,Linked to Fortress Bank - Renewal.,2026-08-04,Low,In Progress,signal,2026-07-19,
TSK-9177,ACC-1038,DL-4177,USR-3006,Draft the renewal proposal,Linked to Clarity Health - New Logo.,2026-08-06,Low,Done,signal,2026-07-21,2026-08-06
TSK-9178,ACC-1039,DL-4178,USR-3009,Follow up on the pilot results,Linked to Nouveau Retail - Renewal.,2026-09-04,High,In Progress,email,2026-08-20,
TSK-9179,ACC-1040,DL-4179,USR-3001,Send recap and mutual action plan,Linked to Orion Aerospace - Renewal.,2026-08-20,Medium,Open,meeting,2026-08-12,
TSK-9180,ACC-1041,DL-4180,USR-3002,Prepare the QBR deck,Linked to Hyperion Cloud - Upsell.,2026-08-05,High,Open,manual,2026-07-21,
TSK-9181,ACC-1002,DL-9001,USR-3002,Draft the renewal save plan for Vortex Analytics,Follow-up captured from today's work.,2026-08-12,High,Open,meeting,2026-08-08,
TSK-9182,ACC-1001,DL-9002,USR-3002,Send the retention policy answer to Apex security,Follow-up captured from today's work.,2026-08-13,High,Open,meeting,2026-08-09,
TSK-9183,ACC-1011,DL-9003,USR-3002,Chase the Quantum Edge signed order form,Follow-up captured from today's work.,2026-08-10,High,Open,email,2026-08-06,
TSK-9184,ACC-1002,DL-9001,USR-3002,Share the ROI model with Vortex finance,Follow-up captured from today's work.,2026-08-14,Medium,Open,email,2026-08-10,
TSK-9185,ACC-1002,DL-9001,USR-3002,Log the competitive intel from the Clari mention,Follow-up captured from today's work.,2026-08-15,Medium,Open,meeting,2026-08-11,
TSK-9186,ACC-1001,DL-9002,USR-3002,Scope the two-region expansion in the Apex proposal,Follow-up captured from today's work.,2026-08-16,Medium,Open,meeting,2026-08-12,
TSK-9187,ACC-1002,DL-9001,USR-3002,Book the executive alignment call for Vortex,Follow-up captured from today's work.,2026-08-17,High,Open,signal,2026-08-13,
TSK-9188,,,USR-3002,Prepare the Q3 commit review for James,Follow-up captured from today's work.,2026-08-18,Medium,Open,manual,2026-08-14,
